Record_ID,Exam_Board,Qualification,Subject_Name,Syllabus_Code,Exam_Year_From,Exam_Year_To,Is_Current_In_2026,Is_Latest_Published_Version,Syllabus_PDF_URL,Syllabus_Page_URL,PotatoPapers_Subject_Filter,PotatoPapers_Catalogue_URL,PotatoPapers_Paper_Record_Count,PotatoPapers_Has_Catalogue_Records,Availability_Notes,Source_Verification,Verified_On
caie-igcse-0445-2027-2027,CAIE,Cambridge IGCSE,Design & Technology,0445,2027,2027,false,false,https://www.cambridgeinternational.org/Images/721302-2027-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-design-and-technology-0445/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0445-2028-2030,CAIE,Cambridge IGCSE,Design & Technology,0445,2028,2030,false,true,https://www.cambridgeinternational.org/Images/743280-2028-2030-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-design-and-technology-0445/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0979-2024-2026,CAIE,Cambridge IGCSE,Design & Technology (9-1),0979,2024,2026,true,false,https://www.cambridgeinternational.org/Images/635778-2024-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-design-and-technology-9-1-0979/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0979-2027-2027,CAIE,Cambridge IGCSE,Design & Technology (9-1),0979,2027,2027,false,false,https://www.cambridgeinternational.org/Images/721373-2027-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-design-and-technology-9-1-0979/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0979-2028-2030,CAIE,Cambridge IGCSE,Design & Technology (9-1),0979,2028,2030,false,true,https://www.cambridgeinternational.org/Images/743317-2028-2030-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-design-and-technology-9-1-0979/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0411-2025-2027,CAIE,Cambridge IGCSE,Drama,0411,2025,2027,true,false,https://www.cambridgeinternational.org/Images/664602-2025-2027-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-drama-0411/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0411-2028-2028,CAIE,Cambridge IGCSE,Drama,0411,2028,2028,false,true,https://www.cambridgeinternational.org/Images/744756-2028-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-drama-0411/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0994-2025-2027,CAIE,Cambridge IGCSE,Drama (9-1),0994,2025,2027,true,false,https://www.cambridgeinternational.org/Images/721668-2025-2027-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-drama-9-1-0994/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0994-2028-2028,CAIE,Cambridge IGCSE,Drama (9-1),0994,2028,2028,false,true,https://www.cambridgeinternational.org/Images/744841-2028-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-drama-9-1-0994/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0455-2026-2026,CAIE,Cambridge IGCSE,Economics,0455,2026,2026,true,false,https://www.cambridgeinternational.org/Images/697154-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-economics-0455/,Economics(0455),https://potatopapers.me/#/igcsepapers,148,true,,HTTP 200 application/pdf,2026-08-29
